top,bottom,middle,left,right,current
0,0,0,36,2,0.51
0,0,0,35,2,0.61
0,0,0,35,2,0.46
0,0,0,33,2,0.42
0,0,1,36,2,0.46
0,0,1,38,3,0.46
0,0,1,34,2,0.37
0,0,0,11,0,0.27
0,0,0,10,0,0.37
0,0,0,10,0,0.02
0,0,0,10,0,0.37
0,0,0,9,0,0.32
0,0,0,9,0,0.37
0,0,0,9,0,0.42
0,0,0,10,0,0.22
0,0,0,10,0,0.22
0,0,0,11,0,0.27
0,0,0,11,0,0.27
0,0,0,11,0,0.27
0,0,0,11,0,0.32
0,0,0,11,0,0.37
0,0,0,10,0,0.27
0,0,0,11,0,0.27
0,0,0,11,0,0.12
0,0,0,10,0,0.27
0,0,0,28,0,0.22
0,0,32,487,38,0.37
0,0,510,664,436,0.42
0,0,501,663,522,0.32
0,0,506,665,432,0.27
0,0,505,666,431,0.32
0,0,514,677,438,0.02
0,0,502,663,428,0.27
0,0,502,664,428,0.32
0,0,509,676,434,0.17
0,0,498,664,426,0.46
0,0,495,664,425,0.37
0,0,491,664,424,0.27
0,0,484,664,422,0.27
0,0,477,663,421,0.27
0,0,471,663,420,0.37
0,0,465,663,419,0.27
0,0,459,663,418,0.42
0,0,453,662,417,0.37
0,0,447,662,416,0.46
0,0,442,661,415,0.27
0,0,439,661,414,0.32
0,0,437,660,413,0.22
0,0,435,659,412,0.17
0,0,434,659,411,0.37
0,0,434,659,410,0.27
0,0,432,659,409,0.32
0,0,426,656,404,0.27
0,0,425,656,403,0.42
0,0,433,668,410,0.12
0,0,423,656,402,0.32
0,0,432,670,410,0.12
0,0,422,656,400,0.32
0,0,421,655,400,0.27
0,0,421,656,400,0.37
0,0,420,656,399,0.46
0,0,420,655,398,0.32
0,0,419,655,397,0.27
0,0,418,656,397,0.17
0,0,417,655,396,0.37
0,0,417,655,395,0.12
0,0,416,655,395,0.32
0,0,416,655,394,0.37
0,0,415,655,394,0.37
0,0,414,655,393,0.37
0,0,413,655,394,0.27
0,0,413,655,392,0.22
0,0,413,655,392,0.12
0,0,412,655,391,0.32
0,0,420,665,397,0.32
0,0,411,654,390,0.32
0,0,410,655,389,0.37
0,0,416,666,396,0.07
0,0,409,654,388,0.27
0,0,408,654,387,0.37
0,0,415,666,394,0.22
0,0,407,654,386,0.46
0,0,406,654,385,0.02
0,0,,0,0.12
0,0,403,654,383,0.32
0,0,402,654,382,0.27
0,0,401,654,381,0.37
0,0,400,654,380,0.32
0,0,399,655,379,0.27
0,0,398,653,378,0.22
0,0,397,653,377,0.27
0,0,396,653,376,0.17
0,0,395,655,376,0.22
0,0,395,653,375,0.22
0,0,394,653,375,0.17
0,0,393,653,374,0.22
0,0,392,653,374,0.17
0,0,392,653,373,0.32
0,0,389,653,371,0.27
0,0,388,653,371,0.32
0,0,396,663,376,0.22
0,0,387,652,369,0.32
0,0,387,652,368,0.27
0,0,386,652,368,0.27
0,0,386,652,367,0.42
0,0,385,652,367,0.27
0,0,384,652,366,0.22
0,0,384,652,365,0.27
0,0,383,653,365,0.22
0,0,382,652,364,0.17
0,0,381,652,363,0.27
0,0,381,652,362,0.37
0,0,380,652,361,0.32
